train_dataset,pheno,num_train,r_med,r_lower,r_upper,mae_med,mae_lower,mae_upper,p_mae_gt
abcd,age,20,0.0259750027944927,-0.0685976698843302,0.0953393650133849,6.66956268181155,6.444375435237411,7.13593492780193,0.002
abcd,age,25,0.03289744146948,-0.071039990735776,0.1080999721846696,6.635021868069679,6.410552060276387,7.061573216562705,0.002
abcd,age,32,0.0357034312573414,-0.0700384562427229,0.1027169480202744,6.685597489843929,6.415311297808735,7.110533881152439,0.002
abcd,age,41,0.0414705956967994,-0.0585204730388115,0.1163772713129238,6.687099941652951,6.432693230108653,7.025117986984579,0.002
abcd,age,52,0.0351314416410691,-0.0574559875972148,0.1192843373493905,6.700758634853749,6.438345780839012,7.149137119803211,0.002
abcd,age,67,0.0431156856550266,-0.0363010362011442,0.1215351169638893,6.687832469610088,6.47858509473235,7.041740506314556,0.002
abcd,age,85,0.050120512050353,-0.0251752590308053,0.1267142665046937,6.692247230504519,6.4870573470057975,7.110604881916581,0.002
abcd,age,108,0.0561449580459891,-0.0146892226718846,0.1303414144804861,6.757740078557254,6.4930014354920615,7.000751406919125,0.002
abcd,age,137,0.0580142210802942,0.0017762520268254,0.1348113172575182,6.770503704670263,6.521929052229887,7.077605906750327,0.002
abcd,age,174,0.0676071891365269,-0.0019559930806704,0.1333971935633618,6.749252550922801,6.484020551873982,7.056281289685106,0.002
abcd,age,221,0.0766885476446658,0.022565042969133,0.1407994595705529,6.790279868232652,6.494912008140551,7.103395091996842,0.002
abcd,age,281,0.0842022364706588,0.0198414109249277,0.1349687262377527,6.792237109205788,6.479251712482681,7.164570019046973,0.002
abcd,age,358,0.0984536891206886,0.048026172627779,0.1492814791803493,6.690961697824651,6.443801063047297,7.092843338848215,0.002
abcd,age,455,0.1136708690000631,0.0670488656379734,0.1799621952366688,6.595810309136499,6.41680718993435,7.051490028314747,0.002
abcd,age,578,0.1233332932875226,0.0570676576532596,0.1752341504980324,6.577828319041384,6.394925160813332,7.073448515106006,0.002
abcd,age,735,0.1335061525696622,0.0840049558556939,0.1778808714009102,6.546463426848076,6.341691010473984,6.722766371314755,0.002
abcd,age,935,0.1431210076507308,0.0966278260233417,0.1949072277615403,6.521227062109032,6.319626873268165,6.689938827536947,0.002
abcd,age,1189,0.1487908370256888,0.107876613226289,0.1989361778941992,6.495325644701376,6.328736887619065,6.685780014239424,0.002
abcd,age,1512,0.1558354479027168,0.1169359335431724,0.2031471545906221,6.481529101616468,6.317649252491856,6.648569610861196,0.002
abcd,age,1923,0.1710816926821997,0.1211998413000056,0.2093974067534978,6.450649818592938,6.300599689659799,6.650227027998628,0.002
abcd,age,2446,0.1740155600753873,0.125045559949816,0.2227968558665474,6.4295903711354185,6.28871169096212,6.610544248898136,0.002
