train_dataset,test_dataset,pheno,num_train,num_test,r_pos_rate,r_sig_ground_truth,r_ground_truth,mae_pos_rate,mae_sig_ground_truth,mae_ground_truth
abcd,hbn,age,32,1189,0.6072,1.0,0.4810596765307293,0.6202,1.0,34.615651804755345
abcd,hbn,age,32,1201,0.61,1.0,0.4810596765307293,0.6199,1.0,34.615651804755345
abcd,hbn,age,41,20,0.1549,1.0,0.4810596765307293,0.1064,1.0,34.615651804755345
abcd,hbn,age,41,25,0.1803,1.0,0.4810596765307293,0.1189,1.0,34.615651804755345
abcd,hbn,age,41,32,0.2178,1.0,0.4810596765307293,0.1432,1.0,34.615651804755345
abcd,hbn,age,41,41,0.2666,1.0,0.4810596765307293,0.1699,1.0,34.615651804755345
abcd,hbn,age,41,52,0.308,1.0,0.4810596765307293,0.1913,1.0,34.615651804755345
abcd,hbn,age,41,67,0.3382,1.0,0.4810596765307293,0.2182,1.0,34.615651804755345
abcd,hbn,age,41,85,0.3803,1.0,0.4810596765307293,0.2623,1.0,34.615651804755345
abcd,hbn,age,41,108,0.4227,1.0,0.4810596765307293,0.3055,1.0,34.615651804755345
abcd,hbn,age,41,137,0.457,1.0,0.4810596765307293,0.3496,1.0,34.615651804755345
abcd,hbn,age,41,174,0.4926,1.0,0.4810596765307293,0.3873,1.0,34.615651804755345
abcd,hbn,age,41,221,0.5168,1.0,0.4810596765307293,0.4334,1.0,34.615651804755345
abcd,hbn,age,41,281,0.543,1.0,0.4810596765307293,0.4764,1.0,34.615651804755345
abcd,hbn,age,41,358,0.5682,1.0,0.4810596765307293,0.5115,1.0,34.615651804755345
abcd,hbn,age,41,455,0.592,1.0,0.4810596765307293,0.5463,1.0,34.615651804755345
abcd,hbn,age,41,578,0.6111,1.0,0.4810596765307293,0.5794,1.0,34.615651804755345
abcd,hbn,age,41,735,0.6276,1.0,0.4810596765307293,0.6096,1.0,34.615651804755345
abcd,hbn,age,41,935,0.6432,1.0,0.4810596765307293,0.6303,1.0,34.615651804755345
abcd,hbn,age,41,1189,0.6503,1.0,0.4810596765307293,0.6488,1.0,34.615651804755345
abcd,hbn,age,41,1201,0.65,1.0,0.4810596765307293,0.6484,1.0,34.615651804755345
abcd,hbn,age,52,20,0.152,1.0,0.4810596765307293,0.1022,1.0,34.615651804755345
abcd,hbn,age,52,25,0.1801,1.0,0.4810596765307293,0.1123,1.0,34.615651804755345
abcd,hbn,age,52,32,0.2187,1.0,0.4810596765307293,0.1377,1.0,34.615651804755345
abcd,hbn,age,52,41,0.2659,1.0,0.4810596765307293,0.165,1.0,34.615651804755345
abcd,hbn,age,52,52,0.3075,1.0,0.4810596765307293,0.1914,1.0,34.615651804755345
abcd,hbn,age,52,67,0.3426,1.0,0.4810596765307293,0.2241,1.0,34.615651804755345
abcd,hbn,age,52,85,0.3843,1.0,0.4810596765307293,0.2649,1.0,34.615651804755345
abcd,hbn,age,52,108,0.4216,1.0,0.4810596765307293,0.3104,1.0,34.615651804755345
abcd,hbn,age,52,137,0.4574,1.0,0.4810596765307293,0.3516,1.0,34.615651804755345
abcd,hbn,age,52,174,0.4871,1.0,0.4810596765307293,0.3922,1.0,34.615651804755345
abcd,hbn,age,52,221,0.5139,1.0,0.4810596765307293,0.4365,1.0,34.615651804755345
abcd,hbn,age,52,281,0.5406,1.0,0.4810596765307293,0.4732,1.0,34.615651804755345
abcd,hbn,age,52,358,0.5664,1.0,0.4810596765307293,0.5063,1.0,34.615651804755345
abcd,hbn,age,52,455,0.5872,1.0,0.4810596765307293,0.5324,1.0,34.615651804755345
abcd,hbn,age,52,578,0.6071,1.0,0.4810596765307293,0.5665,1.0,34.615651804755345
abcd,hbn,age,52,735,0.6193,1.0,0.4810596765307293,0.5979,1.0,34.615651804755345
abcd,hbn,age,52,935,0.6365,1.0,0.4810596765307293,0.6328,1.0,34.615651804755345
abcd,hbn,age,52,1189,0.6488,1.0,0.4810596765307293,0.6744,1.0,34.615651804755345
abcd,hbn,age,52,1201,0.65,1.0,0.4810596765307293,0.6749,1.0,34.615651804755345
abcd,hbn,age,67,20,0.179,1.0,0.4810596765307293,0.1204,1.0,34.615651804755345
abcd,hbn,age,67,25,0.2097,1.0,0.4810596765307293,0.1315,1.0,34.615651804755345
abcd,hbn,age,67,32,0.2536,1.0,0.4810596765307293,0.1659,1.0,34.615651804755345
abcd,hbn,age,67,41,0.2972,1.0,0.4810596765307293,0.1969,1.0,34.615651804755345
abcd,hbn,age,67,52,0.347,1.0,0.4810596765307293,0.2264,1.0,34.615651804755345
abcd,hbn,age,67,67,0.3884,1.0,0.4810596765307293,0.262,1.0,34.615651804755345
abcd,hbn,age,67,85,0.4351,1.0,0.4810596765307293,0.3075,1.0,34.615651804755345
abcd,hbn,age,67,108,0.4783,1.0,0.4810596765307293,0.363,1.0,34.615651804755345
abcd,hbn,age,67,137,0.5148,1.0,0.4810596765307293,0.4164,1.0,34.615651804755345
abcd,hbn,age,67,174,0.5483,1.0,0.4810596765307293,0.4534,1.0,34.615651804755345
abcd,hbn,age,67,221,0.5753,1.0,0.4810596765307293,0.4965,1.0,34.615651804755345
abcd,hbn,age,67,281,0.6025,1.0,0.4810596765307293,0.5397,1.0,34.615651804755345
abcd,hbn,age,67,358,0.6283,1.0,0.4810596765307293,0.5785,1.0,34.615651804755345
abcd,hbn,age,67,455,0.6478,1.0,0.4810596765307293,0.611,1.0,34.615651804755345
abcd,hbn,age,67,578,0.6709,1.0,0.4810596765307293,0.6347,1.0,34.615651804755345
abcd,hbn,age,67,735,0.6935,1.0,0.4810596765307293,0.659,1.0,34.615651804755345
abcd,hbn,age,67,935,0.7121,1.0,0.4810596765307293,0.6831,1.0,34.615651804755345
abcd,hbn,age,67,1189,0.7242,1.0,0.4810596765307293,0.6996,1.0,34.615651804755345
abcd,hbn,age,67,1201,0.72,1.0,0.4810596765307293,0.7023,1.0,34.615651804755345
abcd,hbn,age,85,20,0.1948,1.0,0.4810596765307293,0.1414,1.0,34.615651804755345
abcd,hbn,age,85,25,0.2279,1.0,0.4810596765307293,0.1581,1.0,34.615651804755345
abcd,hbn,age,85,32,0.2797,1.0,0.4810596765307293,0.1934,1.0,34.615651804755345
abcd,hbn,age,85,41,0.3278,1.0,0.4810596765307293,0.236,1.0,34.615651804755345
abcd,hbn,age,85,52,0.3805,1.0,0.4810596765307293,0.2628,1.0,34.615651804755345
abcd,hbn,age,85,67,0.4353,1.0,0.4810596765307293,0.3065,1.0,34.615651804755345
abcd,hbn,age,85,85,0.4801,1.0,0.4810596765307293,0.3586,1.0,34.615651804755345
abcd,hbn,age,85,108,0.5315,1.0,0.4810596765307293,0.4152,1.0,34.615651804755345
abcd,hbn,age,85,137,0.579,1.0,0.4810596765307293,0.4722,1.0,34.615651804755345
abcd,hbn,age,85,174,0.6205,1.0,0.4810596765307293,0.5265,1.0,34.615651804755345
abcd,hbn,age,85,221,0.659,1.0,0.4810596765307293,0.5811,1.0,34.615651804755345
abcd,hbn,age,85,281,0.6891,1.0,0.4810596765307293,0.6267,1.0,34.615651804755345
abcd,hbn,age,85,358,0.7171,1.0,0.4810596765307293,0.6765,1.0,34.615651804755345
abcd,hbn,age,85,455,0.7432,1.0,0.4810596765307293,0.7087,1.0,34.615651804755345
abcd,hbn,age,85,578,0.7639,1.0,0.4810596765307293,0.7406,1.0,34.615651804755345
abcd,hbn,age,85,735,0.7802,1.0,0.4810596765307293,0.7633,1.0,34.615651804755345
abcd,hbn,age,85,935,0.796,1.0,0.4810596765307293,0.7858,1.0,34.615651804755345
abcd,hbn,age,85,1189,0.8116,1.0,0.4810596765307293,0.8138,1.0,34.615651804755345
abcd,hbn,age,85,1201,0.81,1.0,0.4810596765307293,0.8137,1.0,34.615651804755345
abcd,hbn,age,108,20,0.1953,1.0,0.4810596765307293,0.1456,1.0,34.615651804755345
abcd,hbn,age,108,25,0.225,1.0,0.4810596765307293,0.1609,1.0,34.615651804755345
abcd,hbn,age,108,32,0.2737,1.0,0.4810596765307293,0.1936,1.0,34.615651804755345
abcd,hbn,age,108,41,0.3324,1.0,0.4810596765307293,0.243,1.0,34.615651804755345
abcd,hbn,age,108,52,0.3835,1.0,0.4810596765307293,0.2728,1.0,34.615651804755345
abcd,hbn,age,108,67,0.4363,1.0,0.4810596765307293,0.3162,1.0,34.615651804755345
abcd,hbn,age,108,85,0.4914,1.0,0.4810596765307293,0.3673,1.0,34.615651804755345
abcd,hbn,age,108,108,0.5491,1.0,0.4810596765307293,0.4198,1.0,34.615651804755345
abcd,hbn,age,108,137,0.5962,1.0,0.4810596765307293,0.4746,1.0,34.615651804755345
abcd,hbn,age,108,174,0.6421,1.0,0.4810596765307293,0.527,1.0,34.615651804755345
abcd,hbn,age,108,221,0.6825,1.0,0.4810596765307293,0.5845,1.0,34.615651804755345
abcd,hbn,age,108,281,0.7147,1.0,0.4810596765307293,0.6379,1.0,34.615651804755345
abcd,hbn,age,108,358,0.7469,1.0,0.4810596765307293,0.6888,1.0,34.615651804755345
abcd,hbn,age,108,455,0.7725,1.0,0.4810596765307293,0.7313,1.0,34.615651804755345
abcd,hbn,age,108,578,0.8019,1.0,0.4810596765307293,0.7723,1.0,34.615651804755345
abcd,hbn,age,108,735,0.8232,1.0,0.4810596765307293,0.8069,1.0,34.615651804755345
abcd,hbn,age,108,935,0.8436,1.0,0.4810596765307293,0.847,1.0,34.615651804755345
abcd,hbn,age,108,1189,0.8532,1.0,0.4810596765307293,0.8795,1.0,34.615651804755345
abcd,hbn,age,108,1201,0.85,1.0,0.4810596765307293,0.8828,1.0,34.615651804755345
abcd,hbn,age,137,20,0.2064,1.0,0.4810596765307293,0.1533,1.0,34.615651804755345
abcd,hbn,age,137,25,0.2407,1.0,0.4810596765307293,0.1741,1.0,34.615651804755345
abcd,hbn,age,137,32,0.2931,1.0,0.4810596765307293,0.2124,1.0,34.615651804755345
abcd,hbn,age,137,41,0.3511,1.0,0.4810596765307293,0.2656,1.0,34.615651804755345
abcd,hbn,age,137,52,0.4123,1.0,0.4810596765307293,0.297,1.0,34.615651804755345
abcd,hbn,age,137,67,0.4638,1.0,0.4810596765307293,0.3472,1.0,34.615651804755345
abcd,hbn,age,137,85,0.5225,1.0,0.4810596765307293,0.4016,1.0,34.615651804755345
abcd,hbn,age,137,108,0.5862,1.0,0.4810596765307293,0.4693,1.0,34.615651804755345
