train_dataset,test_dataset,pheno,num_train,num_test,r_pos_rate,r_sig_ground_truth,r_ground_truth,mae_pos_rate,mae_sig_ground_truth,mae_ground_truth
abcd_1_scans,hbn,age,20,20,0.1493,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,20,25,0.176,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,20,32,0.2098,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,20,41,0.2478,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,20,52,0.2911,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,20,67,0.322,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,20,85,0.3619,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,20,108,0.4025,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,20,137,0.4319,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,20,174,0.4618,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,20,221,0.4863,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,20,281,0.5066,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,20,358,0.5268,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,20,455,0.5409,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,20,578,0.5549,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,20,735,0.5668,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,20,935,0.5806,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,20,1189,0.6113,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,20,1201,0.61,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,25,20,0.1768,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,25,25,0.2096,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,25,32,0.2525,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,25,41,0.3032,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,25,52,0.3547,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,25,67,0.3903,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
abcd_1_scans,hbn,age,25,85,0.436,1.0,0.3701533594968107,0.0,0.0,34.71125893612179
