train_dataset,pheno,num_train,r_med,r_lower,r_upper,mae_med,mae_lower,mae_upper,p_mae_gt
abcd_1_scans,age,20,0.0160194580381421,-0.073032275078414,0.105938818076023,6.713926774868346,6.485248513222044,7.276354763816197,
abcd_1_scans,age,25,0.0256130920341002,-0.0575955866496209,0.1182214374670513,6.761346414303517,6.468399325051354,7.078544470377747,
abcd_1_scans,age,30,0.0296751796175991,-0.0597187974387899,0.112078107490735,6.760838132030479,6.477094592793058,7.166700730275245,
abcd_1_scans,age,38,0.0239848598282415,-0.0503892462235048,0.113925391920277,6.743456525196347,6.502585885486647,7.221364017175489,
abcd_1_scans,age,46,0.0297709377233669,-0.0508127818972834,0.1066076187522567,6.788376592531737,6.530966044289222,7.267739176750865,
abcd_1_scans,age,57,0.0347152030507532,-0.0422264946604389,0.1067334039740757,6.7585257609854485,6.500076535113362,7.18648470532884,
abcd_1_scans,age,71,0.0350586288828881,-0.039880219068818,0.1137143777860373,6.8298108766196375,6.495340048957951,7.210776844614757,
abcd_1_scans,age,87,0.050432072528113,-0.0507878271843414,0.1306220689528464,6.824870186018933,6.467505904943543,7.276107321381624,
abcd_1_scans,age,108,0.0474836275155802,-0.0340712624319471,0.1394156078837834,6.850207194325562,6.501001818572408,7.273279895283901,
abcd_1_scans,age,133,0.051103183727287,-0.0296720120799897,0.1360374206717372,6.882538390090895,6.458581143900269,7.298964626070083,
abcd_1_scans,age,165,0.0572775233119178,-0.0321104875579043,0.1433187891078268,6.880919287056896,6.457384427310778,7.223393016194668,
abcd_1_scans,age,203,0.0659477488273588,-0.0174977795178884,0.1401460908290121,6.892570601856233,6.502687393945517,7.32985259642306,
abcd_1_scans,age,251,0.0726675887214175,-0.0103065197520554,0.1597911436549149,6.900374204562196,6.470428851124323,7.33874488543637,
abcd_1_scans,age,310,0.0855981428609992,-0.0060869513191661,0.1831578917343735,6.845002584329674,6.44339402440376,7.345676648026223,
abcd_1_scans,age,382,0.0910592982136332,-0.0037600127084196,0.1478048132283109,6.823728045004543,6.480205589605046,7.225775282680401,
abcd_1_scans,age,472,0.0944941300996234,0.0085628296910631,0.1587567800110404,6.747567305954659,6.477855459580419,7.117693994750661,
abcd_1_scans,age,583,0.1036371536662523,0.0354798536261229,0.1725518059943586,6.701482224599175,6.439906631012866,7.05706405330021,
abcd_1_scans,age,720,0.1176057080432737,0.0607179666846162,0.1792061489816128,6.668939721904369,6.420443108337191,6.930631326397927,
abcd_1_scans,age,888,0.1226328265167475,0.0541376370158818,0.182995224318516,6.66001249954342,6.4402780835416005,6.923771424011276,
abcd_1_scans,age,1097,0.135553842412607,0.0685614450187331,0.1906273078368161,6.642980793070288,6.386466049466635,6.852210287327193,
abcd_1_scans,age,1354,0.144088133340605,0.0779003115238893,0.1956169539735624,6.614327323017966,6.332773805087311,6.842811519889122,
abcd_1_scans,age,1672,0.1518945308654191,0.0717429259359688,0.2008775192898231,6.6015444806529775,6.338548663371786,6.855280224020631,
abcd_1_scans,age,2064,0.1630258475383775,0.0797240342813071,0.2135679967664182,6.565124442543301,6.299750698475805,6.808047564631635,
abcd_1_scans,age,2548,0.1695396167654191,0.1076454025144924,0.2192218163239293,6.525481626311,6.304750553617315,6.763093085803575,
abcd_1_scans,age,3146,0.1698383172786068,0.1156094403429589,0.2323122359747136,6.507781575774741,6.2841837984403055,6.749221446776839,
abcd_2_scans,age,20,0.0267913295531706,-0.0581267131882499,0.1069570715777373,6.753495248226235,6.485970720602407,7.27893048764001,
abcd_2_scans,age,25,0.0293923361891964,-0.0570352270163421,0.1212561646548182,6.752417138360025,6.463537806019372,7.129308876259282,
abcd_2_scans,age,30,0.0311460611172085,-0.0715940768484724,0.1179085534539108,6.792394597031759,6.450472950411145,7.165109163223039,
abcd_2_scans,age,38,0.0349524201029042,-0.0540962540841542,0.1316425409339743,6.771740041041955,6.50984363849417,7.2460235590680835,
abcd_2_scans,age,46,0.032527935820061,-0.0513662681354016,0.1096702466661894,6.808459018128834,6.500917200927634,7.305951601472795,
abcd_2_scans,age,57,0.0429302661394649,-0.0300093502222245,0.1305609270337577,6.833638971934711,6.497564074484468,7.205261469641592,
abcd_2_scans,age,71,0.048526413055732,-0.0267576544713143,0.1421889407436195,6.85559322457835,6.525167988441431,7.300732061055905,
abcd_2_scans,age,87,0.0667379494670393,-0.0348279125918454,0.1534912630724924,6.825479224710728,6.473174456801838,7.292232975382682,
abcd_2_scans,age,108,0.0718985258490317,-0.0325857389763079,0.1556990883215683,6.831653351177772,6.458395073854945,7.2713044304132515,
