train_dataset,pheno,num_train,train_seed,r_internal,q2_internal
abcd,attn,20,0,-0.0043512361132995,-0.0155367802306032
abcd,attn,20,1,0.0101872171611333,-0.0304565677121055
abcd,attn,20,2,0.061387715672073,-0.0752722391718807
abcd,attn,20,3,0.0190172203060032,-0.0328746314149668
abcd,attn,20,4,-0.0609708845375567,-0.0224541794763537
abcd,attn,20,5,0.1167591121530056,-0.0117512560671799
abcd,attn,20,6,-0.0336508130859726,-0.011241886019045
abcd,attn,20,7,0.0005835267070922,-0.0516189923080072
abcd,attn,20,8,0.036027271025597,-0.0422946616918187
abcd,attn,20,9,0.0115386577307621,-8.50557905610995
abcd,attn,20,10,-0.0372927304688583,-0.0082752741595477
abcd,attn,20,11,0.023373955458453,-0.2510902388233778
abcd,attn,20,12,0.0411191827482986,-0.1629817788888312
abcd,attn,20,13,0.0577253997262599,0.0016578970308479
abcd,attn,20,14,-0.0384585600602249,-0.0442938330246247
abcd,attn,20,15,0.0102917730381085,-0.0834551454022172
abcd,attn,20,16,0.0213001539289028,-0.0581700946786256
abcd,attn,20,17,0.023989132669008,-0.0087599018963582
abcd,attn,20,18,0.0134275537453844,-0.0076047003153829
abcd,attn,20,19,0.0022873249268381,-0.0076576306939697
abcd,attn,20,20,-0.0457959831888664,-0.0300443555345324
abcd,attn,20,21,0.0126567645277804,-0.1649741715615631
abcd,attn,20,22,-0.0604077630449894,-0.0050137516222499
abcd,attn,20,23,-0.0147200929569327,-0.0335852911464416
abcd,attn,20,24,-0.0369001407515695,-0.0295528977541901
abcd,attn,20,25,0.0069084261328122,-0.1753368417035645
abcd,attn,20,26,-0.0369485263462496,-0.0040677126206758
abcd,attn,20,27,0.0855983053985098,-0.1196211698033347
abcd,attn,20,28,0.0882521142295875,-0.0082519929669948
abcd,attn,20,29,-0.0463656043183761,-0.0477806704134207
abcd,attn,20,30,-0.0497717405285533,-0.0241096132451528
abcd,attn,20,31,0.0540749144903982,-0.6370518972138304
abcd,attn,20,32,-0.0398093761005398,-0.2369058019685757
abcd,attn,20,33,0.0501774777498929,-0.0672242211053022
abcd,attn,20,34,-0.0309579656117806,-0.0865230255821345
abcd,attn,20,35,0.0501050584719854,-0.1217628136350552
abcd,attn,20,36,0.0935280887830872,-0.0129846347393176
abcd,attn,20,37,-0.0848833279919824,-0.4181585524819091
abcd,attn,20,38,0.0020912852615453,-0.0556940008019299
abcd,attn,20,39,-0.0367915024626365,-0.1065369284239168
abcd,attn,20,40,0.0040971810918481,-0.0042723715329167
abcd,attn,20,41,0.0575816298129712,-0.0332945612389854
abcd,attn,20,42,-0.093832309448179,-0.1337785597579726
abcd,attn,20,43,0.0681757428246074,-0.1174140768683511
abcd,attn,20,44,0.0681000820521724,-0.1103625385357032
abcd,attn,20,45,-0.048033656709693,-0.0240439652263946
abcd,attn,20,46,-0.0244475423822813,-0.0196416808653614
abcd,attn,20,47,-0.007119804079201,-0.0032700402488787
abcd,attn,20,48,0.0628299506254958,0.0028935808415671
abcd,attn,20,49,-0.0679662940783647,-0.0103911324010956
abcd,attn,20,50,0.0517482356043002,-0.114624411196843
abcd,attn,20,51,0.074528406445411,-0.0530999390677853
abcd,attn,20,52,0.0051407062124307,-0.0044412480544862
abcd,attn,20,53,0.0145091567486002,-0.0071434724572783
abcd,attn,20,54,0.0432078347645589,-54.33201051765184
abcd,attn,20,55,-0.0272096372588315,-0.0163874374134007
abcd,attn,20,56,-0.0439912564954593,-0.0080744763283491
abcd,attn,20,57,0.0561992775640501,-0.0640144043375798
abcd,attn,20,58,0.0002515762396576,-1.31847669438317
abcd,attn,20,59,0.0474733621653191,-0.0154457652710395
abcd,attn,20,60,0.0367752517463666,-0.0078506960531792
abcd,attn,20,61,-0.0267073278812964,-0.0159769625908607
abcd,attn,20,62,-0.0314729247504397,-0.037717267961338
abcd,attn,20,63,0.0891624110933087,-0.0475454607492564
abcd,attn,20,64,-0.0115441595849083,-0.1463210327666866
abcd,attn,20,65,0.0109842439185073,-0.0959912096422856
abcd,attn,20,66,-0.0161728358322166,-0.0069694199487015
abcd,attn,20,67,0.0047748506349013,-0.0275420706667322
abcd,attn,20,68,0.1133476501151913,0.0097650321778793
abcd,attn,20,69,0.0592205012874451,-0.0331523888255724
abcd,attn,20,70,0.0067927248959614,-0.0083698801168154
abcd,attn,20,71,-0.0123809102326309,-0.2463226534003626
abcd,attn,20,72,-0.0564128166696036,-0.1547355838569635
abcd,attn,20,73,0.0297668381379721,-0.0977848860407373
abcd,attn,20,74,-0.0426393916516712,-0.0028610166030995
abcd,attn,20,75,-0.0760994965503179,-0.0151045673430503
abcd,attn,20,76,-0.0483684039577919,-0.0073914079048307
abcd,attn,20,77,0.0014754593311721,-0.0514319414769206
abcd,attn,20,78,0.0200049596252982,-0.0383005650596988
abcd,attn,20,79,-0.058715287669809,-0.157821053725246
abcd,attn,20,80,0.0004637793554029,-0.1050416545547054
abcd,attn,20,81,-0.023105445514579,-0.010162439990659
abcd,attn,20,82,-0.0453645057530114,-0.3172044418850159
abcd,attn,20,83,-0.0459866078356212,-0.0806934516519413
abcd,attn,20,84,0.0117282966730712,-0.0143948058658334
abcd,attn,20,85,-0.0005062922338926,-0.2056136287878689
abcd,attn,20,86,-0.1278650680721734,-0.3250220614454615
abcd,attn,20,87,-0.0707479453558704,-0.0480388108184064
abcd,attn,20,88,-0.0047416175298578,-0.015745915938425
abcd,attn,20,89,-0.1159227624841762,-0.004637758969384
abcd,attn,20,90,0.0587348216277168,-0.0283668388645919
abcd,attn,20,91,0.1379567416470425,-0.0310865039962175
abcd,attn,20,92,-0.0342526822888163,-0.0445267711971895
abcd,attn,20,93,-0.0180221382448595,-0.0764885171689262
abcd,attn,20,94,0.0556320022051387,-0.0279796548599826
abcd,attn,20,95,0.0205436112052903,-0.1309338280035246
abcd,attn,20,96,0.0305445557849776,-0.1675984924161693
abcd,attn,20,97,-0.0190452447928488,-0.0366418936185601
abcd,attn,20,98,0.034382527577677,-0.0201568944658769
abcd,attn,20,99,0.0949183354763342,-0.0428938942367831
abcd,attn,27,0,0.0105357762907412,-0.0535427041613418
abcd,attn,27,1,-0.0272917593346594,-0.0105670703676723
abcd,attn,27,2,-0.0271689042638907,-0.0228280926693589
abcd,attn,27,3,0.0238722391154683,-0.0205767363526627
abcd,attn,27,4,-0.058331600166893,-0.0258639587305173
abcd,attn,27,5,-0.0155238579786849,-0.0121556823803152
abcd,attn,27,6,-0.0462183525935409,-0.0069186487275687
abcd,attn,27,7,-0.0187013864364036,-0.0054098027740998
abcd,attn,27,8,0.0381430007754246,-0.0679977250915349
abcd,attn,27,9,0.0154833978602597,-0.0378150221445385
abcd,attn,27,10,-0.0123315737314396,-0.0056487310472701
abcd,attn,27,11,0.0292424356639988,-0.2382712171904679
abcd,attn,27,12,0.058350221320201,-0.343760707718121
abcd,attn,27,13,0.014405438032904,-0.0358270720780602
abcd,attn,27,14,-0.002392792972937,-0.0083984318697727
abcd,attn,27,15,-0.0186257504891665,-0.0624475965088213
abcd,attn,27,16,-0.0106076358954679,-0.087728330018036
abcd,attn,27,17,0.0445921868271836,-0.0321300782453186
abcd,attn,27,18,0.0168245530214104,-0.0464686429349279
abcd,attn,27,19,-0.007434604763322,-0.0100968426681358
abcd,attn,27,20,-0.0384710663533831,-0.0181718731505946
abcd,attn,27,21,-0.0099073077455375,-0.1775215145131357
abcd,attn,27,22,-0.0483426468916669,-0.0112368491835079
abcd,attn,27,23,-0.070702766922767,-0.0538396789976554
abcd,attn,27,24,-0.0710266368350863,-0.2121725096774154
