train_dataset,pheno,num_train,train_seed,r_internal,q2_internal
abcd,mr_scaled,20,0,0.0201551169914702,-0.0562731011122425
abcd,mr_scaled,20,1,-0.0543714714594545,-0.0254885342962936
abcd,mr_scaled,20,2,0.0450776346341693,-0.0460406103505632
abcd,mr_scaled,20,3,0.0132001397441888,-0.0091086651568017
abcd,mr_scaled,20,4,-0.0950802644973611,-0.0834111544958964
abcd,mr_scaled,20,5,0.0755771382169863,-0.0353535512085323
abcd,mr_scaled,20,6,0.0288239992278142,-0.0147669126232401
abcd,mr_scaled,20,7,-0.0599934776400351,-0.0318159490172094
abcd,mr_scaled,20,8,0.0348924399776409,-0.0770648418578687
abcd,mr_scaled,20,9,-0.0137311580128928,-0.1731281413938106
abcd,mr_scaled,20,10,0.0226326412172609,-0.01774576714036
abcd,mr_scaled,20,11,-0.0486285847940842,-0.0295187689069953
abcd,mr_scaled,20,12,0.0820675334366547,-0.0033695516421523
abcd,mr_scaled,20,13,0.0466126063967421,-0.0243729239244654
abcd,mr_scaled,20,14,0.0042890968765383,-0.0132390946360345
abcd,mr_scaled,20,15,0.0158613336471623,-0.0038935404867685
abcd,mr_scaled,20,16,-0.0082198805259995,-0.1025223749973045
abcd,mr_scaled,20,17,0.0265512394420394,-0.0158037337125847
abcd,mr_scaled,20,18,0.0020736097247988,-0.0099366644975444
abcd,mr_scaled,20,19,0.034472200652959,-0.0351542191720524
abcd,mr_scaled,20,20,-0.0051637018496958,-0.1559930867938772
abcd,mr_scaled,20,21,0.0149128655962211,-0.0068283524964005
abcd,mr_scaled,20,22,0.0375869051288046,-0.1246867640143019
abcd,mr_scaled,20,23,0.0052475284726917,-0.0405815037150041
abcd,mr_scaled,20,24,0.0133020257031608,-0.0864408943940746
abcd,mr_scaled,20,25,0.0991193151792042,-0.2035357493264888
abcd,mr_scaled,20,26,-0.0580481212802628,-0.0056346565459324
abcd,mr_scaled,20,27,-0.0636466235754294,-0.0491694668251614
abcd,mr_scaled,20,28,0.0110951816855025,-0.08297256807602
abcd,mr_scaled,20,29,0.0084548536022287,-0.0242271288408264
abcd,mr_scaled,20,30,-0.1135478903112281,-0.0476907911027408
abcd,mr_scaled,20,31,0.0333174006896577,-0.0010220560588831
abcd,mr_scaled,20,32,-0.123547925011224,-0.0122060959743748
abcd,mr_scaled,20,33,-0.0183691281297067,-0.006418125326548
abcd,mr_scaled,20,34,-0.0479764885154501,-0.531604818433923
abcd,mr_scaled,20,35,-0.0067076929728346,-0.1085054932777462
abcd,mr_scaled,20,36,-0.0503570781791049,-0.0451017786689673
abcd,mr_scaled,20,37,-0.0282622561944384,-0.01329999676384
abcd,mr_scaled,20,38,-0.0275251189140553,-0.061618036582411
abcd,mr_scaled,20,39,0.0859778032956633,-0.1537661560599048
abcd,mr_scaled,20,40,-0.0325356870446859,-0.1485399271986955
abcd,mr_scaled,20,41,0.0565135215554991,0.0019551139742811
abcd,mr_scaled,20,42,0.0462827958157566,-0.0001644802332934
abcd,mr_scaled,20,43,0.0948713873761348,-0.1543859271978691
abcd,mr_scaled,20,44,0.0256627278375207,-0.1234327951712892
abcd,mr_scaled,20,45,0.0068972256584871,-0.0013292314078419
abcd,mr_scaled,20,46,-0.0321603515781543,-0.0374581863912706
abcd,mr_scaled,20,47,-0.122873172217,-0.0839826521809274
abcd,mr_scaled,20,48,0.1356902122150378,0.002873702399739
abcd,mr_scaled,20,49,-0.0457826203330214,-0.0625647933140676
abcd,mr_scaled,20,50,0.0864478322514908,-0.1328298363601459
abcd,mr_scaled,20,51,-0.0532261438023065,-0.0537094324893823
abcd,mr_scaled,20,52,0.1213450561906827,-0.0256037507118558
abcd,mr_scaled,20,53,0.0795092272688077,-0.2054571439811146
abcd,mr_scaled,20,54,0.0089816733442109,-0.0191726247690051
abcd,mr_scaled,20,55,-0.0886331896264054,-0.0236390857676918
abcd,mr_scaled,20,56,-0.0326490844840312,-0.0070560302525817
abcd,mr_scaled,20,57,0.1458483839367711,0.0106299509688522
abcd,mr_scaled,20,58,-0.048343028404433,-0.0285758812226557
abcd,mr_scaled,20,59,0.071924662439616,0.0031312157677616
abcd,mr_scaled,20,60,-0.0188022729631103,-0.0447873167552792
abcd,mr_scaled,20,61,-0.0222972143045361,-0.0991306655124535
abcd,mr_scaled,20,62,0.1289675351989491,0.0079875522675179
abcd,mr_scaled,20,63,0.005605102386372,-0.0510163614270089
abcd,mr_scaled,20,64,-0.0137646196913575,-0.0200555987333117
abcd,mr_scaled,20,65,-0.0753101758583724,-0.0477343969931294
abcd,mr_scaled,20,66,-0.0356570788265096,-0.0172240637833105
abcd,mr_scaled,20,67,-0.0954702334378317,-0.0108511383131446
abcd,mr_scaled,20,68,-0.0354622908730822,-0.3948997473210947
abcd,mr_scaled,20,69,-0.0444331778882594,-0.018845452199091
abcd,mr_scaled,20,70,0.0946926869517174,0.0062487406147376
abcd,mr_scaled,20,71,0.0697134114694318,-0.0396772208096549
abcd,mr_scaled,20,72,-0.0756934129100568,-0.0526019272321691
abcd,mr_scaled,20,73,-0.0305739212400602,-0.00612419664838
abcd,mr_scaled,20,74,0.0480367626263319,-0.0547976310860676
abcd,mr_scaled,20,75,0.0592073047370656,-0.0352629277461777
abcd,mr_scaled,20,76,-0.0179656952675448,-0.1907650010433876
abcd,mr_scaled,20,77,0.1074138656216464,-2.013351119339557
abcd,mr_scaled,20,78,-0.0007366435106658,-0.0250698348842131
abcd,mr_scaled,20,79,0.0820176765417538,-0.0015416347945313
abcd,mr_scaled,20,80,-0.0030005137777838,-0.0645926629071476
abcd,mr_scaled,20,81,0.0636036960891603,-8.538424033788239e-05
abcd,mr_scaled,20,82,0.0494349234397219,-0.0821767098545291
abcd,mr_scaled,20,83,-0.0546397811244023,-0.2257426601170964
abcd,mr_scaled,20,84,-0.0575113952753974,-0.0775182418436395
abcd,mr_scaled,20,85,0.0553331431287939,-0.1976163044332064
abcd,mr_scaled,20,86,0.037325137717776,0.0006706485710472
abcd,mr_scaled,20,87,0.0391718963509145,-0.0053813859508597
abcd,mr_scaled,20,88,0.0134862681866778,-0.0072658213659704
abcd,mr_scaled,20,89,-0.0203418956137223,-0.0192467601175208
abcd,mr_scaled,20,90,-0.1188170277788933,-0.0215773543946231
abcd,mr_scaled,20,91,-0.012404590116112,-0.1101062654656823
abcd,mr_scaled,20,92,0.0419920627046834,0.0015946975160645
abcd,mr_scaled,20,93,-0.0435333871134828,-0.0131988080878704
abcd,mr_scaled,20,94,0.1255816700293865,-0.1200853751233099
abcd,mr_scaled,20,95,0.0010777510183035,-0.0037851003993258
abcd,mr_scaled,20,96,-0.0912660543330482,-0.234610474036639
abcd,mr_scaled,20,97,0.0354196716369265,-0.0009032428122424
abcd,mr_scaled,20,98,-0.0191591632956733,-0.1931406373088335
abcd,mr_scaled,20,99,-0.0603824171490223,-0.0061055053919467
abcd,mr_scaled,27,0,0.0158889854872672,-0.0774207078729085
abcd,mr_scaled,27,1,-0.0744656911835096,-0.0955020033398821
abcd,mr_scaled,27,2,0.0647326578281777,-0.0119044972682975
abcd,mr_scaled,27,3,-0.0239293115621285,-0.030710831358564
abcd,mr_scaled,27,4,-0.0117756744830799,-0.0068820539810798
abcd,mr_scaled,27,5,0.0430047785949895,-0.0137981588986211
abcd,mr_scaled,27,6,0.031148938764186,-0.0158782763589082
abcd,mr_scaled,27,7,-0.0602079956461322,-0.0130505495003641
abcd,mr_scaled,27,8,0.0601672195047584,-0.1267293426551974
abcd,mr_scaled,27,9,0.0126935982794601,-0.0798286284453722
abcd,mr_scaled,27,10,0.0265878335876734,-0.0090639734062123
abcd,mr_scaled,27,11,-0.0496971844556281,-0.0094511236973395
abcd,mr_scaled,27,12,-0.0102472285995504,-0.0596905217294951
abcd,mr_scaled,27,13,0.04815323324477,-0.0180282880076787
abcd,mr_scaled,27,14,-0.004740305743626,-0.0139356109587036
abcd,mr_scaled,27,15,0.0760084036191702,-0.0091008386146149
abcd,mr_scaled,27,16,-0.029698357086922,-0.0155226173075289
abcd,mr_scaled,27,17,-0.0343022609755451,-0.0044166955073932
abcd,mr_scaled,27,18,0.0459618833368477,-0.0432262486824972
abcd,mr_scaled,27,19,0.0586493544567001,-0.0193407949295443
abcd,mr_scaled,27,20,0.0313811342499397,-0.0322315523984695
abcd,mr_scaled,27,21,0.086796136440434,0.0065081429967758
abcd,mr_scaled,27,22,0.0304495448449051,-0.1530975703900092
abcd,mr_scaled,27,23,0.0330483979032644,-0.0297324767089284
abcd,mr_scaled,27,24,0.0521036353549613,-0.0768515141170336
abcd,mr_scaled,27,25,0.0314855480183112,-0.0948260586936169
abcd,mr_scaled,27,26,-0.0370093806725496,-0.006066386707775
abcd,mr_scaled,27,27,-0.0481358424864389,-0.028018535497394
abcd,mr_scaled,27,28,0.0477234177828798,-0.153976626970034
abcd,mr_scaled,27,29,-0.0256295179224112,-0.0143757467085714
abcd,mr_scaled,27,30,-0.0873464568483935,-0.0167306260715645
abcd,mr_scaled,27,31,0.0054905490617267,-0.01770335933333
abcd,mr_scaled,27,32,-0.0334176783397914,-0.0032410313987465
abcd,mr_scaled,27,33,-0.0231725390660751,-0.011631149455257
abcd,mr_scaled,27,34,-0.053821185740402,-0.2174018777547324
abcd,mr_scaled,27,35,-0.0003622958858208,-0.3079778704135871
abcd,mr_scaled,27,36,0.0227667024443636,-0.0475299011676999
abcd,mr_scaled,27,37,0.0129539287960225,-0.0006554614634661
abcd,mr_scaled,27,38,-0.0654653689953055,-0.0095454046265173
abcd,mr_scaled,27,39,0.0724279902043586,-0.146150890517658
abcd,mr_scaled,27,40,-0.0024316315254522,-0.1290015072058943
abcd,mr_scaled,27,41,0.0934669980548258,-0.0046538378853902
abcd,mr_scaled,27,42,0.0866846313533742,0.006931133373383
abcd,mr_scaled,27,43,0.0994152114671688,-0.1745538148932071
abcd,mr_scaled,27,44,0.0976078705784216,-0.2075725980494938
abcd,mr_scaled,27,45,0.0154036117466175,-0.013212181864415
abcd,mr_scaled,27,46,0.0911093821875176,-4.638834242953749e-06
abcd,mr_scaled,27,47,0.0033988798459919,-0.0328880537989721
abcd,mr_scaled,27,48,0.0876619120528657,-0.0073164700981129
abcd,mr_scaled,27,49,-0.0292198813616937,-0.0571414868305872
abcd,mr_scaled,27,50,0.0779500118278787,-0.0962933991317551
abcd,mr_scaled,27,51,-0.0513085095458859,-0.1105083184149218
abcd,mr_scaled,27,52,0.0625169080302696,-0.0542555002027853
abcd,mr_scaled,27,53,0.0662049636921723,-0.1889292023576942
abcd,mr_scaled,27,54,-0.0345122130175342,-0.0170253435882588
abcd,mr_scaled,27,55,-0.0839243557065547,-0.0360025768305722
abcd,mr_scaled,27,56,-0.0187752207076597,-0.0130748180342818
abcd,mr_scaled,27,57,0.1232331912546368,0.0125060240545483
abcd,mr_scaled,27,58,-0.0339372205221692,-0.0798268528825791
abcd,mr_scaled,27,59,0.0705980120353049,0.0047761789939214
abcd,mr_scaled,27,60,0.0110004751157231,-0.0750677559865933
abcd,mr_scaled,27,61,0.0103588880827837,-0.0773660452374294
abcd,mr_scaled,27,62,0.1072003396818215,0.0100948878915793
abcd,mr_scaled,27,63,-0.023145005653959,-0.0628874949736226
abcd,mr_scaled,27,64,0.0041646165184776,-0.0217287708996647
abcd,mr_scaled,27,65,0.0741320397565121,-0.0268943291498799
