train_dataset,test_dataset,pheno,num_train,num_test,sig_external,r_med,r_ground_truth,sig_ground_truth,infl_med
abcd,hbn,attn,20,20,0.0,-0.0251708964908589,-0.0094976197272978,0.0,-0.0156732767635611
abcd,hbn,attn,20,20,1.0,0.44513673590108194,-0.0094976197272978,0.0,0.4546343556283797
abcd,hbn,attn,20,27,0.0,-0.0203921900557282,-0.0094976197272978,0.0,-0.0108945703284304
abcd,hbn,attn,20,27,1.0,0.3753232357645533,-0.0094976197272978,0.0,0.3848208554918511
abcd,hbn,attn,20,36,0.0,-0.0188910275194505,-0.0094976197272978,0.0,-0.0093934077921527
abcd,hbn,attn,20,36,1.0,0.3285356296895292,-0.0094976197272978,0.0,0.338033249416827
abcd,hbn,attn,20,48,0.0,-0.0148735942363967,-0.0094976197272978,0.0,-0.005375974509098899
abcd,hbn,attn,20,48,1.0,0.2857137620230014,-0.0094976197272978,0.0,0.2952113817502992
abcd,hbn,attn,20,64,0.0,-0.0125131290325087,-0.0094976197272978,0.0,-0.0030155093052108995
abcd,hbn,attn,20,64,1.0,0.2514704504344953,-0.0094976197272978,0.0,0.2609680701617931
abcd,hbn,attn,20,85,0.0,-0.01401467546046375,-0.0094976197272978,0.0,-0.004517055733165949
abcd,hbn,attn,20,85,1.0,0.21563088503200306,-0.0094976197272978,0.0,0.22512850475930085
abcd,hbn,attn,20,114,0.0,-0.01273211110475735,-0.0094976197272978,0.0,-0.003234491377459549
abcd,hbn,attn,20,114,1.0,0.18594198968806525,-0.0094976197272978,0.0,0.19543960941536304
abcd,hbn,attn,20,153,0.0,-0.013692812414734249,-0.0094976197272978,0.0,-0.004195192687436448
abcd,hbn,attn,20,153,1.0,0.16589731292856663,-0.0094976197272978,0.0,0.17539493265586442
abcd,hbn,attn,20,204,0.0,-0.0190849520310707,-0.0094976197272978,0.0,-0.0095873323037729
abcd,hbn,attn,20,204,1.0,0.14574966337436104,-0.0094976197272978,0.0,0.15524728310165883
abcd,hbn,attn,20,273,0.0,-0.0192706800097639,-0.0094976197272978,0.0,-0.0097730602824661
abcd,hbn,attn,20,273,1.0,0.1276993002491379,-0.0094976197272978,0.0,0.13719691997643568
abcd,hbn,attn,20,365,0.0,-0.02191509131118465,-0.0094976197272978,0.0,-0.012417471583886848
