train_dataset,test_dataset,pheno,num_train,num_test,pos_rate,sig_ground_truth,r_ground_truth
abcd,hbn,attn,85,114,0.0511,0.0,-0.0094976197272978
abcd,hbn,attn,85,153,0.0592,0.0,-0.0094976197272978
abcd,hbn,attn,85,204,0.0705,0.0,-0.0094976197272978
abcd,hbn,attn,85,273,0.0758,0.0,-0.0094976197272978
abcd,hbn,attn,85,365,0.0865,0.0,-0.0094976197272978
abcd,hbn,attn,85,488,0.094,0.0,-0.0094976197272978
abcd,hbn,attn,85,652,0.1085,0.0,-0.0094976197272978
abcd,hbn,attn,85,872,0.135,0.0,-0.0094976197272978
abcd,hbn,attn,85,1150,0.15,0.0,-0.0094976197272978
abcd,hbn,attn,114,20,0.0464,0.0,-0.0094976197272978
abcd,hbn,attn,114,27,0.0518,0.0,-0.0094976197272978
abcd,hbn,attn,114,36,0.0567,0.0,-0.0094976197272978
abcd,hbn,attn,114,48,0.0486,0.0,-0.0094976197272978
abcd,hbn,attn,114,64,0.0508,0.0,-0.0094976197272978
abcd,hbn,attn,114,85,0.0495,0.0,-0.0094976197272978
abcd,hbn,attn,114,114,0.0482,0.0,-0.0094976197272978
abcd,hbn,attn,114,153,0.0565,0.0,-0.0094976197272978
abcd,hbn,attn,114,204,0.0633,0.0,-0.0094976197272978
abcd,hbn,attn,114,273,0.0655,0.0,-0.0094976197272978
abcd,hbn,attn,114,365,0.0736,0.0,-0.0094976197272978
abcd,hbn,attn,114,488,0.0784,0.0,-0.0094976197272978
abcd,hbn,attn,114,652,0.0918,0.0,-0.0094976197272978
abcd,hbn,attn,114,872,0.1033,0.0,-0.0094976197272978
abcd,hbn,attn,114,1150,0.13,0.0,-0.0094976197272978
abcd,hbn,attn,153,20,0.0452,0.0,-0.0094976197272978
abcd,hbn,attn,153,27,0.0522,0.0,-0.0094976197272978
abcd,hbn,attn,153,36,0.052,0.0,-0.0094976197272978
abcd,hbn,attn,153,48,0.0522,0.0,-0.0094976197272978
abcd,hbn,attn,153,64,0.0493,0.0,-0.0094976197272978
abcd,hbn,attn,153,85,0.0535,0.0,-0.0094976197272978
abcd,hbn,attn,153,114,0.0538,0.0,-0.0094976197272978
abcd,hbn,attn,153,153,0.0593,0.0,-0.0094976197272978
abcd,hbn,attn,153,204,0.0658,0.0,-0.0094976197272978
abcd,hbn,attn,153,273,0.0732,0.0,-0.0094976197272978
abcd,hbn,attn,153,365,0.0809,0.0,-0.0094976197272978
abcd,hbn,attn,153,488,0.0929,0.0,-0.0094976197272978
abcd,hbn,attn,153,652,0.1122,0.0,-0.0094976197272978
