train_dataset,pheno,num_train,r_med,r_lower,r_upper,mae_med,mae_lower,mae_upper,p_mae_gt
hcp_sc,age,20,0.1177312417413994,-0.2041619027965199,0.3110458275175487,3.235777238233724,2.911634867264888,3.7629688514165895,0.0024
hcp_sc,age,25,0.1142580743375742,-0.2245337980912952,0.3012248496065191,3.193040114831407,2.9150747098465293,3.6376879477767305,0.0024
hcp_sc,age,32,0.1022342399902516,-0.1655682192630369,0.2960808351190351,3.1981172635603565,2.877364782278029,3.586245820047442,0.0024
hcp_sc,age,41,0.1178318621200703,-0.1373996306542582,0.2961610015047533,3.1949467210188303,2.8806807712221763,3.6437628514454015,0.0024
hcp_sc,age,52,0.1337177266878281,-0.0680386260519662,0.3009996539992006,3.1679929502867545,2.849085861102914,3.4950772884212,0.0024
hcp_sc,age,67,0.1421695690476634,-0.0684321758743367,0.3141966773855764,3.1628656399677397,2.824232910907814,3.5306911883481478,0.0024
hcp_sc,age,85,0.1468993704418833,-0.0151937471157816,0.3025170573633658,3.1373322866837667,2.848518236327172,3.4462617244207445,0.0024
hcp_sc,age,108,0.1574318872300932,-0.0093290197658194,0.3122022040905876,3.132823374552512,2.8197496276549394,3.4351845346058485,0.0024
hcp_sc,age,137,0.1661420480323925,0.0125088154759859,0.3182898960212826,3.093491303857836,2.8616078617129546,3.4656902275652453,0.0024
hcp_sc,age,174,0.1651556004399593,0.047849099793859,0.309174665574021,3.091843670587932,2.865155690375423,3.312884198640321,0.0024
hcp_sc,age,221,0.1692593933082546,0.0363662347882065,0.3179395206776608,3.0803739408201465,2.8073374199689813,3.305267509068155,0.0024
hcp_sc,age,281,0.1742147891108759,0.0549008116322144,0.3184582356452093,3.071542439976436,2.7829158756617853,3.253017774640337,0.0024
hcp_sc,age,358,0.1899443131240414,0.0494247190859593,0.3517313067112812,3.0477626829244087,2.780559444777168,3.260050887393237,0.0024
hcp_sc,age,455,0.2125910187229817,0.0843318930993194,0.3436950380695014,3.0328862575024607,2.752583632132645,3.220901287211316,0.0024
hcp_sc,age,578,0.2200220860810454,0.0858786956391666,0.3578486149720082,3.026340610957309,2.7459759935767742,3.2181527136613237,0.0024
hcp_sc,age,735,0.228512365070842,0.1120067616346737,0.3851485071990351,3.006990647137712,2.744041907643716,3.206038143328142,0.0024
hcp_sc,age,865,0.2488925379634925,0.1062869027028242,0.3994646014690974,2.995223337351085,2.721797466478259,3.184048315272658,0.0024
chcp_sc,age,20,0.3622356263421217,0.0396609604854806,0.6709298643553476,15.011239701497471,12.088662781249592,18.877762007998992,0.002
chcp_sc,age,25,0.366505901364049,0.0766087439354156,0.6719190678423955,14.766588296615502,12.0466627563876,17.687489663213142,0.002
chcp_sc,age,32,0.4658538836907382,0.092846661780619,0.7103551994801073,14.203951850544309,11.75545806525692,17.11403389927427,0.002
chcp_sc,age,41,0.533846761068623,0.126129230204701,0.7312485426960206,13.479648305295818,11.106963551758607,16.37263265716648,0.002
