train_dataset,test_dataset,pheno,num_train,num_test,r_med,r_lower,r_upper,mae_med,mae_lower,mae_upper,r_gt,mae_gt,r_pos_rate,mae_pos_rate,r_sig_ground_truth,mae_sig_ground_truth,r_ground_truth,mae_ground_truth
hcp_sc,chcp_sc,age,20,20,0.0495228541966987,-0.3830668742333004,0.4642863899373468,14.070883466034516,7.310577166046442,19.56949376428249,0.2669275522988148,13.12512188700058,0.0657,0.0623,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,20,25,0.0621922696245366,-0.3420667419074756,0.4434889268882305,14.087611462852184,8.226156972322453,19.992371925107207,0.2669275522988148,13.12512188700058,0.0772,0.0701,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,20,32,0.057394714769103,-0.3016073518914891,0.387574443457604,13.921911230193569,8.58897859983807,19.34202238327392,0.2669275522988148,13.12512188700058,0.0815,0.0683,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,20,41,0.0542921938503546,-0.2580831155509115,0.3539204759020677,14.025900708799451,9.425876814321011,18.31918116259649,0.2669275522988148,13.12512188700058,0.0926,0.0775,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,20,52,0.0494892329482525,-0.2332957985218813,0.3315505746267461,13.983976518197682,9.942849025474022,17.912409083891685,0.2669275522988148,13.12512188700058,0.1101,0.0874,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,20,67,0.0486524282671777,-0.2068903964113695,0.3099172217164969,13.946589598543987,10.300809957582349,16.81616322421771,0.2669275522988148,13.12512188700058,0.1228,0.0981,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,20,85,0.049814945244187,-0.1871951140306533,0.2871282981413157,13.851350172646226,10.893658164630462,16.493980402882904,0.2669275522988148,13.12512188700058,0.1403,0.1149,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,20,108,0.0512408870509282,-0.1662510764494819,0.2600615283984333,13.91298373151958,11.394886205267788,16.3767106846189,0.2669275522988148,13.12512188700058,0.1553,0.1298,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,20,137,0.0508202516034489,-0.1459093120614997,0.242428234765426,14.019675191728474,11.925597369795716,15.83122014024595,0.2669275522988148,13.12512188700058,0.1608,0.1289,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,20,174,0.0496307032151861,-0.1263025246320585,0.229110641330096,13.91965933355192,12.33746940123791,15.526691909750893,0.2669275522988148,13.12512188700058,0.165,0.1363,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,20,221,0.0503581477318386,-0.1172006517844081,0.2158946548482172,13.84720956650206,12.495686471508428,15.121408787779908,0.2669275522988148,13.12512188700058,0.1909,0.1541,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,20,281,0.0539757713730666,-0.1093789907213943,0.2081597989200613,13.829990283520832,12.832893883542958,14.934073614752442,0.2669275522988148,13.12512188700058,0.207,0.1771,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,20,312,0.0553066132867269,-0.1021227967533297,0.2109674506336885,13.813211125183807,13.071020345639669,14.750540179126489,0.2669275522988148,13.12512188700058,0.19,0.1771,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,25,20,0.0506263541238006,-0.3768999013844693,0.4689824269178032,14.044004851553298,7.302057545574082,19.581016297023115,0.2669275522988148,13.12512188700058,0.0661,0.0621,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,25,25,0.0640258587118902,-0.3418921938981425,0.4490980698882733,14.035653931862903,8.106969367345313,19.97311039026771,0.2669275522988148,13.12512188700058,0.0788,0.0716,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,25,32,0.0624113028391929,-0.2963808079270696,0.3875129854040314,13.896119528013813,8.505533690368992,19.32014773223011,0.2669275522988148,13.12512188700058,0.0812,0.076,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,25,41,0.0550777193049072,-0.2528673237737117,0.3566444192758642,13.988638994610955,9.410480819333468,18.295632315992552,0.2669275522988148,13.12512188700058,0.0962,0.0807,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,25,52,0.0535818319309824,-0.2238877128455466,0.3327710171866802,13.945003870598905,9.908781917008794,17.86912000092171,0.2669275522988148,13.12512188700058,0.1133,0.0935,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,25,67,0.052358494772637,-0.1995470512815848,0.3072487403034274,13.908365175754454,10.287683517458298,16.783931028584067,0.2669275522988148,13.12512188700058,0.1252,0.1044,1.0,1.0,0.2669275522988148,13.12512188700058
hcp_sc,chcp_sc,age,25,85,0.0522240639360184,-0.1786999241598128,0.2891225786253997,13.805051332262863,10.888273017738292,16.428209337701627,0.2669275522988148,13.12512188700058,0.1438,0.1226,1.0,1.0,0.2669275522988148,13.12512188700058
