train_dataset,test_dataset,pheno,num_train,num_test,sig_external,r_med,r_ground_truth,r_sig_ground_truth,mae_med,mae_ground_truth,mae_sig_ground_truth,r_infl_med,mae_infl_med,eval_metric,sig_external_mae
hcp_sc,chcp_sc,age,20,20,0.0,0.0305447168652478,0.2669275522988148,1.0,14.041494039243643,13.12512188700058,1.0,-0.2363828354335669,0.9163721522430636,r,
hcp_sc,chcp_sc,age,20,20,1.0,0.4421918137695571,0.2669275522988148,1.0,14.63430433580847,13.12512188700058,1.0,0.1752642614707422,1.5091824488078878,r,
hcp_sc,chcp_sc,age,20,25,0.0,0.0412575245393667,0.2669275522988148,1.0,14.087837528432985,13.12512188700058,1.0,-0.2256700277594481,0.9627156414324016,r,
hcp_sc,chcp_sc,age,20,25,1.0,0.4078443527759015,0.2669275522988148,1.0,14.06930695925016,13.12512188700058,1.0,0.1409168004770866,0.9441850722495796,r,
hcp_sc,chcp_sc,age,20,32,0.0,0.0380961753434363,0.2669275522988148,1.0,13.942038815473069,13.12512188700058,1.0,-0.2288313769553785,0.8169169284724873,r,
hcp_sc,chcp_sc,age,20,32,1.0,0.3532349890829934,0.2669275522988148,1.0,13.599309615680962,13.12512188700058,1.0,0.0863074367841786,0.4741877286803806,r,
hcp_sc,chcp_sc,age,20,41,0.0,0.0348057391789894,0.2669275522988148,1.0,14.049190358325117,13.12512188700058,1.0,-0.2321218131198253,0.9240684713245332,r,
hcp_sc,chcp_sc,age,20,41,1.0,0.3121407020306384,0.2669275522988148,1.0,13.73771709594465,13.12512188700058,1.0,0.0452131497318235,0.612595208944068,r,
hcp_sc,chcp_sc,age,20,52,0.0,0.0297126423468024,0.2669275522988148,1.0,13.985766622752912,13.12512188700058,1.0,-0.2372149099520124,0.8606447357523308,r,
hcp_sc,chcp_sc,age,20,52,1.0,0.2829306661539568,0.2669275522988148,1.0,13.958701621008526,13.12512188700058,1.0,0.016003113855142,0.8335797340079445,r,
hcp_sc,chcp_sc,age,20,67,0.0,0.0301423274730461,0.2669275522988148,1.0,13.955925384060034,13.12512188700058,1.0,-0.2367852248257686,0.8308034970594527,r,
hcp_sc,chcp_sc,age,20,67,1.0,0.2578204343047452,0.2669275522988148,1.0,13.876997732503352,13.12512188700058,1.0,-0.0091071179940696,0.7518758455027719,r,
hcp_sc,chcp_sc,age,20,85,0.0,0.0299843506923584,0.2669275522988148,1.0,13.895279686506132,13.12512188700058,1.0,-0.2369432016064564,0.7701577995055509,r,
hcp_sc,chcp_sc,age,20,85,1.0,0.2295563831483149,0.2669275522988148,1.0,13.58198420483148,13.12512188700058,1.0,-0.0373711691504998,0.4568623178308986,r,
hcp_sc,chcp_sc,age,20,108,0.0,0.0305007467029587,0.2669275522988148,1.0,13.958713266518478,13.12512188700058,1.0,-0.2364268055958561,0.8335913795178964,r,
hcp_sc,chcp_sc,age,20,108,1.0,0.2027525083657696,0.2669275522988148,1.0,13.596928127526729,13.12512188700058,1.0,-0.0641750439330451,0.4718062405261456,r,
hcp_sc,chcp_sc,age,20,137,0.0,0.032307891813706,0.2669275522988148,1.0,14.078115286641836,13.12512188700058,1.0,-0.2346196604851088,0.9529933996412544,r,
hcp_sc,chcp_sc,age,20,137,1.0,0.1800889463202614,0.2669275522988148,1.0,13.75790011917389,13.12512188700058,1.0,-0.0868386059785533,0.6327782321733082,r,
hcp_sc,chcp_sc,age,20,174,0.0,0.0330602967594658,0.2669275522988148,1.0,13.968167228649662,13.12512188700058,1.0,-0.2338672555393489,0.8430453416490806,r,
hcp_sc,chcp_sc,age,20,174,1.0,0.166873955769242,0.2669275522988148,1.0,13.686522524231798,13.12512188700058,1.0,-0.1000535965295727,0.5614006372312161,r,
hcp_sc,chcp_sc,age,20,221,0.0,0.0324594157637061,0.2669275522988148,1.0,13.90838531040692,13.12512188700058,1.0,-0.2344681365351086,0.7832634234063374,r,
hcp_sc,chcp_sc,age,20,221,1.0,0.1474459675732124,0.2669275522988148,1.0,13.618118439669798,13.12512188700058,1.0,-0.1194815847256023,0.4929965526692168,r,
hcp_sc,chcp_sc,age,20,281,0.0,0.0376728014666424,0.2669275522988148,1.0,13.897220036937266,13.12512188700058,1.0,-0.2292547508321723,0.772098149936685,r,
hcp_sc,chcp_sc,age,20,281,1.0,0.1342457092561021,0.2669275522988148,1.0,13.602381706139848,13.12512188700058,1.0,-0.1326818430427127,0.4772598191392667,r,
hcp_sc,chcp_sc,age,20,312,0.0,0.0391069860606258,0.2669275522988148,1.0,13.91081812249336,13.12512188700058,1.0,-0.2278205662381889,0.7856962354927788,r,
hcp_sc,chcp_sc,age,20,312,1.0,0.1340651485736175,0.2669275522988148,1.0,13.526698846721542,13.12512188700058,1.0,-0.1328624037251972,0.4015769597209608,r,
hcp_sc,chcp_sc,age,25,20,0.0,0.0328526498798314,0.2669275522988148,1.0,14.024560096034898,13.12512188700058,1.0,-0.2340749024189833,0.8994382090343169,r,
hcp_sc,chcp_sc,age,25,20,1.0,0.4485583424046841,0.2669275522988148,1.0,14.419125833975231,13.12512188700058,1.0,0.1816307901058693,1.2940039469746516,r,
hcp_sc,chcp_sc,age,25,25,0.0,0.0441162727288427,0.2669275522988148,1.0,14.033335576257205,13.12512188700058,1.0,-0.222811279569972,0.9082136892566216,r,
hcp_sc,chcp_sc,age,25,25,1.0,0.4078892818909645,0.2669275522988148,1.0,14.08301928611066,13.12512188700058,1.0,0.1409617295921497,0.9578973991100792,r,
hcp_sc,chcp_sc,age,25,32,0.0,0.0423326910796444,0.2669275522988148,1.0,13.918333344107904,13.12512188700058,1.0,-0.2245948612191703,0.7932114571073239,r,
hcp_sc,chcp_sc,age,25,32,1.0,0.3501686338431803,0.2669275522988148,1.0,13.594557051826907,13.12512188700058,1.0,0.0832410815443654,0.4694351648263275,r,
hcp_sc,chcp_sc,age,25,41,0.0,0.036801492677202,0.2669275522988148,1.0,14.019074922542824,13.12512188700058,1.0,-0.2301260596216127,0.8939530355422427,r,
hcp_sc,chcp_sc,age,25,41,1.0,0.3143658326629202,0.2669275522988148,1.0,13.720191911346086,13.12512188700058,1.0,0.0474382803641053,0.5950700243455049,r,
hcp_sc,chcp_sc,age,25,52,0.0,0.0329895218357617,0.2669275522988148,1.0,13.948749778719035,13.12512188700058,1.0,-0.233938030463053,0.8236278917184539,r,
hcp_sc,chcp_sc,age,25,52,1.0,0.2822496841865318,0.2669275522988148,1.0,13.937627086296894,13.12512188700058,1.0,0.015322131887717,0.8125051992963126,r,
hcp_sc,chcp_sc,age,25,67,0.0,0.0335400238331039,0.2669275522988148,1.0,13.91752005944705,13.12512188700058,1.0,-0.2333875284657108,0.7923981724464682,r,
hcp_sc,chcp_sc,age,25,67,1.0,0.2595442380527473,0.2669275522988148,1.0,13.845961988464133,13.12512188700058,1.0,-0.0073833142460675,0.7208401014635513,r,
hcp_sc,chcp_sc,age,25,85,0.0,0.0326145822838534,0.2669275522988148,1.0,13.836948690067892,13.12512188700058,1.0,-0.2343129700149613,0.7118268030673107,r,
hcp_sc,chcp_sc,age,25,85,1.0,0.231206470399664,0.2669275522988148,1.0,13.61346256196997,13.12512188700058,1.0,-0.0357210818991507,0.4883406749693879,r,
hcp_sc,chcp_sc,age,25,108,0.0,0.031740991445282,0.2669275522988148,1.0,13.922006344009285,13.12512188700058,1.0,-0.2351865608535328,0.7968844570087033,r,
hcp_sc,chcp_sc,age,25,108,1.0,0.2025020778002615,0.2669275522988148,1.0,13.609616123398425,13.12512188700058,1.0,-0.0644254744985532,0.4844942363978415,r,
hcp_sc,chcp_sc,age,25,137,0.0,0.0322237739586946,0.2669275522988148,1.0,14.024006845329144,13.12512188700058,1.0,-0.2347037783401201,0.8988849583285621,r,
hcp_sc,chcp_sc,age,25,137,1.0,0.1785173898333429,0.2669275522988148,1.0,13.800847703480752,13.12512188700058,1.0,-0.0884101624654718,0.6757258164801705,r,
hcp_sc,chcp_sc,age,25,174,0.0,0.0320971947552804,0.2669275522988148,1.0,13.927113851980444,13.12512188700058,1.0,-0.2348303575435343,0.8019919649798624,r,
hcp_sc,chcp_sc,age,25,174,1.0,0.1647013658422689,0.2669275522988148,1.0,13.67760714658676,13.12512188700058,1.0,-0.1022261864565458,0.5524852595861773,r,
hcp_sc,chcp_sc,age,25,221,0.0,0.0316967260062735,0.2669275522988148,1.0,13.875831065116408,13.12512188700058,1.0,-0.2352308262925413,0.7507091781158266,r,
hcp_sc,chcp_sc,age,25,221,1.0,0.1483153605834211,0.2669275522988148,1.0,13.606552938490177,13.12512188700058,1.0,-0.1186121917153937,0.4814310514895954,r,
hcp_sc,chcp_sc,age,25,281,0.0,0.0358253286922482,0.2669275522988148,1.0,13.868388327175776,13.12512188700058,1.0,-0.2311022236065665,0.7432664401751943,r,
hcp_sc,chcp_sc,age,25,281,1.0,0.1407016740342196,0.2669275522988148,1.0,13.600117334064969,13.12512188700058,1.0,-0.1262258782645952,0.4749954470643871,r,
hcp_sc,chcp_sc,age,25,312,0.0,0.036730136510449,0.2669275522988148,1.0,13.908846436375956,13.12512188700058,1.0,-0.2301974157883657,0.7837245493753748,r,
hcp_sc,chcp_sc,age,25,312,1.0,0.1335112332185075,0.2669275522988148,1.0,13.61030310392048,13.12512188700058,1.0,-0.1334163190803072,0.4851812169198979,r,
hcp_sc,chcp_sc,age,32,20,0.0,0.0336678690918156,0.2669275522988148,1.0,13.992707825850792,13.12512188700058,1.0,-0.2332596832069992,0.8675859388502118,r,
hcp_sc,chcp_sc,age,32,20,1.0,0.4511284643550996,0.2669275522988148,1.0,14.337747159006696,13.12512188700058,1.0,0.1842009120562848,1.2126252720061146,r,
