train_dataset,test_dataset,pheno,num_train,num_test,r_pos_rate,r_sig_ground_truth,r_ground_truth,mae_pos_rate,mae_sig_ground_truth,mae_ground_truth
hcp_sc,chcp_sc,age,41,221,0.3089,1.0,0.2669275522988148,0.1967,1.0,13.12512188700058
hcp_sc,chcp_sc,age,41,281,0.3692,1.0,0.2669275522988148,0.2358,1.0,13.12512188700058
hcp_sc,chcp_sc,age,41,312,0.4,1.0,0.2669275522988148,0.2511,1.0,13.12512188700058
hcp_sc,chcp_sc,age,52,20,0.0947,1.0,0.2669275522988148,0.0792,1.0,13.12512188700058
hcp_sc,chcp_sc,age,52,25,0.1149,1.0,0.2669275522988148,0.095,1.0,13.12512188700058
hcp_sc,chcp_sc,age,52,32,0.1286,1.0,0.2669275522988148,0.1022,1.0,13.12512188700058
hcp_sc,chcp_sc,age,52,41,0.1451,1.0,0.2669275522988148,0.1099,1.0,13.12512188700058
hcp_sc,chcp_sc,age,52,52,0.1674,1.0,0.2669275522988148,0.1261,1.0,13.12512188700058
hcp_sc,chcp_sc,age,52,67,0.1901,1.0,0.2669275522988148,0.1419,1.0,13.12512188700058
hcp_sc,chcp_sc,age,52,85,0.2235,1.0,0.2669275522988148,0.1654,1.0,13.12512188700058
hcp_sc,chcp_sc,age,52,108,0.2558,1.0,0.2669275522988148,0.1909,1.0,13.12512188700058
hcp_sc,chcp_sc,age,52,137,0.2816,1.0,0.2669275522988148,0.202,1.0,13.12512188700058
hcp_sc,chcp_sc,age,52,174,0.3016,1.0,0.2669275522988148,0.2198,1.0,13.12512188700058
hcp_sc,chcp_sc,age,52,221,0.3415,1.0,0.2669275522988148,0.2512,1.0,13.12512188700058
hcp_sc,chcp_sc,age,52,281,0.3859,1.0,0.2669275522988148,0.2888,1.0,13.12512188700058
hcp_sc,chcp_sc,age,52,312,0.36,1.0,0.2669275522988148,0.2996,1.0,13.12512188700058
hcp_sc,chcp_sc,age,67,20,0.1013,1.0,0.2669275522988148,0.0847,1.0,13.12512188700058
hcp_sc,chcp_sc,age,67,25,0.1241,1.0,0.2669275522988148,0.103,1.0,13.12512188700058
hcp_sc,chcp_sc,age,67,32,0.1377,1.0,0.2669275522988148,0.1134,1.0,13.12512188700058
hcp_sc,chcp_sc,age,67,41,0.1611,1.0,0.2669275522988148,0.1267,1.0,13.12512188700058
hcp_sc,chcp_sc,age,67,52,0.1867,1.0,0.2669275522988148,0.1412,1.0,13.12512188700058
hcp_sc,chcp_sc,age,67,67,0.2105,1.0,0.2669275522988148,0.1547,1.0,13.12512188700058
hcp_sc,chcp_sc,age,67,85,0.2444,1.0,0.2669275522988148,0.1804,1.0,13.12512188700058
hcp_sc,chcp_sc,age,67,108,0.2815,1.0,0.2669275522988148,0.2027,1.0,13.12512188700058
hcp_sc,chcp_sc,age,67,137,0.3084,1.0,0.2669275522988148,0.2155,1.0,13.12512188700058
hcp_sc,chcp_sc,age,67,174,0.3385,1.0,0.2669275522988148,0.2336,1.0,13.12512188700058
hcp_sc,chcp_sc,age,67,221,0.3879,1.0,0.2669275522988148,0.2593,1.0,13.12512188700058
hcp_sc,chcp_sc,age,67,281,0.4634,1.0,0.2669275522988148,0.3092,1.0,13.12512188700058
hcp_sc,chcp_sc,age,67,312,0.47,1.0,0.2669275522988148,0.3326,1.0,13.12512188700058
hcp_sc,chcp_sc,age,85,20,0.0958,1.0,0.2669275522988148,0.0778,1.0,13.12512188700058
hcp_sc,chcp_sc,age,85,25,0.1193,1.0,0.2669275522988148,0.0961,1.0,13.12512188700058
hcp_sc,chcp_sc,age,85,32,0.133,1.0,0.2669275522988148,0.107,1.0,13.12512188700058
hcp_sc,chcp_sc,age,85,41,0.1529,1.0,0.2669275522988148,0.1168,1.0,13.12512188700058
hcp_sc,chcp_sc,age,85,52,0.1757,1.0,0.2669275522988148,0.1332,1.0,13.12512188700058
hcp_sc,chcp_sc,age,85,67,0.2058,1.0,0.2669275522988148,0.1478,1.0,13.12512188700058
hcp_sc,chcp_sc,age,85,85,0.2406,1.0,0.2669275522988148,0.1741,1.0,13.12512188700058
hcp_sc,chcp_sc,age,85,108,0.2809,1.0,0.2669275522988148,0.1941,1.0,13.12512188700058
hcp_sc,chcp_sc,age,85,137,0.3097,1.0,0.2669275522988148,0.2065,1.0,13.12512188700058
hcp_sc,chcp_sc,age,85,174,0.346,1.0,0.2669275522988148,0.2223,1.0,13.12512188700058
hcp_sc,chcp_sc,age,85,221,0.3997,1.0,0.2669275522988148,0.2551,1.0,13.12512188700058
