train_dataset,pheno,num_train,r_med,r_lower,r_upper,mae_med,mae_lower,mae_upper,p_mae_gt
hcp,age,20,0.0445032224266863,-0.1622124539074005,0.2383029345108252,3.2466957015059075,2.889447910177264,3.8111546270127703,0.00315
hcp,age,25,0.0486067341432469,-0.1725093389614992,0.2374913467503095,3.216580024418406,2.890608057989641,3.696556523979488,0.00315
hcp,age,32,0.0613894193029295,-0.1523263589372106,0.2382188380028948,3.2060949278076865,2.86935335719399,3.645052812467121,0.00315
hcp,age,41,0.0686907942034708,-0.119136831966528,0.2361009842913206,3.2049573906449327,2.8835804329057977,3.60534566634193,0.00315
hcp,age,52,0.0738539840719068,-0.1111889434233366,0.228564570653466,3.1851219995057263,2.86202818708253,3.554199131071562,0.00315
hcp,age,67,0.0887446845428112,-0.1063530583833326,0.2212539849958662,3.1754337526172898,2.8842246910111538,3.497321447398346,0.00315
hcp,age,85,0.0944504165121449,-0.0821073164684892,0.2494273004595388,3.19171119626957,2.903360956091483,3.481684299025124,0.00315
hcp,age,108,0.1227119278034051,-0.0275235466383784,0.2318241836043377,3.165023881885247,2.881992586030484,3.427680094639363,0.00315
hcp,age,137,0.1134360824152708,-0.0487635318342796,0.2454348758442533,3.186559899248338,2.8542493939916787,3.4677007439133423,0.00315
hcp,age,174,0.1239198721679383,-0.0119315568657747,0.2550650514962393,3.1609077711662747,2.859949947760218,3.45189787702502,0.00315
hcp,age,221,0.1221359806809412,-0.0684639404484237,0.2748394327846078,3.185282433133228,2.870396868323363,3.4800254824438825,0.00315
hcp,age,281,0.1487119289496518,-0.034942820128652,0.2934166072521543,3.138761417360244,2.8828287602840685,3.459209881712337,0.00315
hcp,age,358,0.1647819339381143,0.0150259394489631,0.2833637029069915,3.1434307974590445,2.8666541866874424,3.429300736267677,0.00315
hcp,age,455,0.1767089527431338,0.0438084213553151,0.280742216434627,3.1455834080086422,2.805412551401798,3.416267757005949,0.00315
hcp,age,578,0.1883335173289734,0.0685287569731172,0.2951160391927026,3.1032026676920648,2.7913210282819594,3.3616433098497813,0.00315
hcp,age,735,0.2042644320789244,0.042139318735082,0.3307146837123085,3.073322365626244,2.820974209098988,3.372672089001368,0.00315
hcp,age,889,0.2316337850969865,0.0980418589627344,0.3479553320002502,3.046810907346932,2.773909747541851,3.333522049601843,0.00315
chcp,age,20,0.6499921847161727,0.4326162657984416,0.7808606044469792,13.41555447481306,9.922463958030246,17.155128271172025,0.002
chcp,age,25,0.6513912125596436,0.4559303286977192,0.7937976538415622,13.207100483879652,9.222795496596788,16.395726701474064,0.002
chcp,age,32,0.6575684195060253,0.4548968807102075,0.7890298754749404,12.106663782153763,8.455095999588467,15.5221428549877,0.002
chcp,age,41,0.6638403228490466,0.4987826858356974,0.790652439971645,11.37084851312705,8.696037701009276,15.136398296754091,0.002
chcp,age,52,0.672398606875273,0.5267748390546002,0.7902026669583362,10.991945621763366,8.37396486808856,13.661047682795996,0.002
chcp,age,67,0.6794967557910663,0.5173968356286057,0.7932571998296337,10.82409972287966,8.309239819196804,13.028724795397162,0.002
chcp,age,85,0.6852110112389724,0.5341811104479862,0.8005096847026246,10.399384336534286,8.249341354904532,12.870035942062469,0.002
chcp,age,108,0.6943071260774556,0.5425488157287394,0.7912701433417146,10.177325611548222,8.134711699062155,12.17860661255978,0.002
chcp,age,137,0.7044365883727985,0.5609511902887202,0.7934801098838354,9.978665248820176,8.141798350040053,12.295613344505144,0.002
chcp,age,174,0.7140342932895238,0.5861827481558316,0.8061526756020817,9.809576322107606,7.993141547054669,11.871082546926807,0.002
chcp,age,221,0.7222623447707359,0.6198767587887826,0.804999572232336,9.579995882399007,7.963075932637136,11.444014261907032,0.002
chcp,age,273,0.7313307984592327,0.6143593485317572,0.8141292382597868,9.437221862069002,7.9949856058865265,11.170965286632391,0.002
hcp,rel,20,0.0505977016638835,-0.1232636714198133,0.2019342511432647,15.468569557333252,13.948913471479331,17.230976185418854,0.0027
hcp,rel,25,0.0404810727594107,-0.147101102468694,0.1816454610985357,15.467903981909268,13.745571392111827,17.279662421381015,0.0027
hcp,rel,32,0.0621425688429966,-0.1402251387380312,0.2036633507731035,15.431395594792903,13.868200789375225,17.28801375073529,0.0027
hcp,rel,41,0.0688140605853534,-0.0952535821817894,0.2312258414177021,15.354804356067593,13.73452137203273,16.63720283460357,0.0027
hcp,rel,52,0.0754908224299854,-0.1222488079881752,0.241583809633759,15.19697928270836,13.717185713290888,16.610752150085187,0.0027
hcp,rel,67,0.0770813958858489,-0.1001879898705814,0.2400984167372605,15.34226838974984,14.058343570624194,16.840706953486027,0.0027
hcp,rel,85,0.081893038871641,-0.0818107877580961,0.2260322504290898,15.328210880118352,13.838480442013394,16.753630143282713,0.0027
hcp,rel,108,0.1004504162599137,-0.0457092674253825,0.2393141757185359,15.174618474045776,13.75458813632591,16.661969562250235,0.0027
hcp,rel,137,0.1068895388547538,-0.0252361507838338,0.2474982841150184,15.306679168846,13.767239243292956,16.41673080674739,0.0027
hcp,rel,174,0.1184833690996484,-0.0474426862846501,0.2336976656614034,15.284813814471867,13.78355371474632,16.598687117074384,0.0027
hcp,rel,221,0.1365184328453611,-0.0409676279791503,0.2323015786460313,15.273847507390483,13.973586849726251,16.434174572450758,0.0027
hcp,rel,281,0.1480485088763821,0.0040935238654075,0.2738866010494406,15.235978599361651,13.666170929194376,16.544312603963405,0.0027
hcp,rel,358,0.149615625396796,0.0155985710332121,0.27939503088329,15.28757298259983,13.688323196857931,16.874635114107882,0.0027
